CustomerID,Lookalikes
C0199,"[('C0060', 0.9676), ('C0025', 0.9431), ('C0025', 0.9431)]"
C0146,"[('C0056', 0.9732), ('C0056', 0.9732), ('C0056', 0.9732)]"
C0127,"[('C0172', 0.9867), ('C0172', 0.9867), ('C0172', 0.9867)]"
C0087,"[('C0046', 0.9282), ('C0046', 0.9282), ('C0046', 0.9282)]"
C0070,"[('C0074', 0.9273), ('C0074', 0.9273), ('C0074', 0.9273)]"
C0188,"[('C0102', 0.9895), ('C0102', 0.9895), ('C0102', 0.9895)]"
C0195,"[('C0012', 0.9876), ('C0012', 0.9876), ('C0012', 0.9876)]"
C0008,"[('C0051', 0.9085), ('C0051', 0.9085), ('C0051', 0.9085)]"
C0157,"[('C0076', 0.9686), ('C0076', 0.9686), ('C0076', 0.9686)]"
C0130,"[('C0042', 0.9806), ('C0042', 0.9806), ('C0042', 0.9806)]"
C0051,"[('C0059', 0.9657), ('C0059', 0.9657), ('C0059', 0.9657)]"
C0075,"[('C0156', 0.8583), ('C0156', 0.8583), ('C0156', 0.8583)]"
C0155,"[('C0004', 0.9454), ('C0004', 0.9454), ('C0004', 0.9454)]"
C0092,"[('C0115', 0.9467), ('C0115', 0.9467), ('C0115', 0.9467)]"
C0088,"[('C0128', 0.9465), ('C0128', 0.9465), ('C0097', 0.9409)]"
C0109,"[('C0099', 0.8688), ('C0099', 0.8688), ('C0099', 0.8688)]"
C0041,"[('C0087', 0.8625), ('C0087', 0.8625), ('C0087', 0.8625)]"
C0101,"[('C0141', 0.8745), ('C0141', 0.8745), ('C0141', 0.8745)]"
C0154,"[('C0127', 0.9484), ('C0127', 0.9484), ('C0127', 0.9484)]"
C0200,"[('C0136', 0.8597), ('C0136', 0.8597), ('C0136', 0.8597)]"
